function,iter,pi,error,t_np,t_p,hostname
1, 1000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01116, wn09 
1, 1100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01220, wn09 
1, 1200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01331, wn09 
1, 1300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01442, wn09 
1, 1400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01554, wn09 
1, 1500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01664, wn09 
1, 1600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01776, wn09 
1, 1700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01887, wn09 
1, 1800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02001, wn09 
1, 1900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02109, wn09 
1, 2000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02218, wn09 
1, 2100000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02329, wn09 
1, 2200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02440, wn09 
1, 2300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02550, wn09 
1, 2400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02662, wn09 
1, 2500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02773, wn09 
1, 2600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02884, wn09 
1, 2700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02996, wn09 
1, 2800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03107, wn09 
1, 2900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03215, wn09 
1, 3000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03347, wn09 
1, 3100000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03439, wn09 
1, 3200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03549, wn09 
1, 3300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03658, wn09 
1, 3400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03770, wn09 
1, 3500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03883, wn09 
1, 3600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03991, wn09 
1, 3700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04103, wn09 
1, 3800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04212, wn09 
1, 3900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04327, wn09 
1, 4000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04441, wn09 
1, 4100000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04547, wn09 
1, 4200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04655, wn09 
1, 4300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04767, wn09 
1, 4400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04876, wn09 
1, 4500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04989, wn09 
1, 4600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05101, wn09 
1, 4700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05211, wn09 
1, 4800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05320, wn09 
1, 4900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05439, wn09 
1, 5000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05545, wn09 
1, 5100000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05653, wn09 
1, 5200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05763, wn09 
1, 5300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05875, wn09 
1, 5400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05987, wn09 
1, 5500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06098, wn09 
1, 5600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06206, wn09 
1, 5700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06320, wn09 
1, 5800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06434, wn09 
1, 5900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06539, wn09 
1, 6000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06648, wn09 
1, 6100000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06761, wn09 
1, 6200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06874, wn09 
1, 6300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06982, wn09 
1, 6400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07091, wn09 
1, 6500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07205, wn09 
1, 6600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07316, wn09 
1, 6700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07426, wn09 
1, 6800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07536, wn09 
1, 6900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07649, wn09 
1, 7000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07759, wn09 
1, 7100000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07869, wn09 
1, 7200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07984, wn09 
1, 7300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08090, wn09 
1, 7400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08201, wn09 
1, 7500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08316, wn09 
1, 7600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08419, wn09 
1, 7700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08534, wn09 
1, 7800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08649, wn09 
1, 7900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08774, wn09 
1, 8000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08869, wn09 
1, 8100000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08981, wn09 
1, 8200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09091, wn09 
1, 8300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09205, wn09 
1, 8400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09309, wn09 
1, 8500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09419, wn09 
1, 8600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09535, wn09 
1, 8700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09642, wn09 
1, 8800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09756, wn09 
1, 8900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09867, wn09 
1, 9000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.09972, wn09 
